ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-8.747,-1.255,9.149,-3.0324,-2.4136,2.2099,-0.0774,4.3618,-5.8934,-18.49,11.42,-43.38
-8.747,-1.255,9.149,-3.0324,-2.4136,2.2099,-0.0774,4.3618,-5.8934,-18.49,11.42,-43.38
-7.1979999999999995,-1.402,11.376,-3.0324,-2.4136,2.2099,-0.0774,4.3618,-5.8934,-18.49,11.42,-43.38
-7.1979999999999995,-1.402,11.376,-0.1478,-0.7996,3.9508,-0.4487,1.7215,-3.3733,-18.3,11.0,-43.7
-7.1979999999999995,-1.402,11.376,-0.1478,-0.7996,3.9508,-0.4487,1.7215,-3.3733,-18.3,11.0,-43.7
-3.255,0.402,12.533,-0.1478,-0.7996,3.9508,-0.4487,1.7215,-3.3733,-18.3,11.0,-43.7
-3.255,0.402,12.533,2.8154,0.9786,3.9432,-0.3918,-0.7661,-1.1426,-18.1,10.3,-43.9
-3.255,0.402,12.533,2.8154,0.9786,3.9432,-0.3918,-0.7661,-1.1426,-18.1,10.3,-43.9
-3.255,0.402,12.533,2.8154,0.9786,3.9432,-0.3918,-0.7661,-1.1426,-18.1,10.3,-43.9
0.853,2.324,11.65,5.9685,2.6078,2.0884,-0.0147,-2.8878,1.2066,-17.9,9.7,-44.2
0.853,2.324,11.65,5.9685,2.6078,2.0884,-0.0147,-2.8878,1.2066,-17.9,9.7,-44.2
3.4610000000000003,4.06,9.64,5.9685,2.6078,2.0884,-0.0147,-2.8878,1.2066,-17.9,9.7,-44.2
3.4610000000000003,4.06,9.64,5.9685,2.6078,2.0884,-0.0147,-2.8878,1.2066,-17.9,9.7,-44.2
3.4610000000000003,4.06,9.64,5.5976,3.6011,-1.3828,0.7845,-4.1151,5.2547,-17.5,9.1,-44.7
3.4610000000000003,4.06,9.64,5.5976,3.6011,-1.3828,0.7845,-4.1151,5.2547,-17.5,9.1,-44.7
3.363,5.011,7.227,5.5976,3.6011,-1.3828,0.7845,-4.1151,5.2547,-17.5,9.1,-44.7
3.363,5.011,7.227,3.9996,2.9974,-3.8903,1.9048,-3.2371,7.8951,-17.1,8.7,-45.1
3.363,5.011,7.227,3.9996,2.9974,-3.8903,1.9048,-3.2371,7.8951,-17.1,8.7,-45.1
3.363,5.011,7.227,3.9996,2.9974,-3.8903,1.9048,-3.2371,7.8951,-17.1,8.7,-45.1
