ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.032236,-2.357322,7.075545,-1.259027,1.910434,-2.52592,-0.327623,0.266198,-0.674837,33.6893,-0.5142,-29.7342,5,2020-06-14 10:04:47:721
-1.032236,-2.357322,7.075545,-1.259027,1.910434,-2.52592,-0.327623,0.266198,-0.674837,33.6893,-0.5142,-29.7342,15,2020-06-14 10:04:47:731
-1.00349,-2.187241,6.637169,-1.259027,1.910434,-2.52592,-0.525713,0.555878,-0.962387,33.9334,0.7847,-29.4442,25,2020-06-14 10:04:47:741
-1.00349,-2.187241,6.637169,-1.259027,1.910434,-2.52592,-0.525713,0.555878,-0.962387,33.9334,0.7847,-29.4442,35,2020-06-14 10:04:47:751
-0.658538,-2.27827,6.656333,-1.122173,2.031148,-2.416674,-0.525713,0.555878,-0.962387,33.9334,0.7847,-29.4442,45,2020-06-14 10:04:47:761
-0.658538,-2.27827,6.656333,-1.122173,2.031148,-2.416674,-0.527843,0.879638,-1.148762,34.7047,1.8116,-28.7775,55,2020-06-14 10:04:47:771
-0.658538,-2.27827,6.656333,-1.122173,2.031148,-2.416674,-0.527843,0.879638,-1.148762,34.7047,1.8116,-28.7775,65,2020-06-14 10:04:47:781
-0.658538,-2.27827,6.656333,-1.122173,2.031148,-2.416674,-0.527843,0.879638,-1.148762,34.7047,1.8116,-28.7775,75,2020-06-14 10:04:47:791
-0.842992,-2.287852,6.330545,-0.943191,2.042199,-2.577714,-0.485243,1.153343,-1.312772,34.7047,1.8116,-28.7775,85,2020-06-14 10:04:47:801
-0.842992,-2.287852,6.330545,-0.943191,2.042199,-2.577714,-0.485243,1.153343,-1.312772,34.7047,1.8116,-28.7775,96,2020-06-14 10:04:47:812
-0.842992,-2.287852,6.330545,-0.943191,2.042199,-2.577714,-0.485243,1.153343,-1.312772,36.5822,4.3372,-28.166,105,2020-06-14 10:04:47:821
-0.356705,-2.400441,5.8754,-0.473266,2.235668,-3.166483,-0.485243,1.153343,-1.312772,36.5822,4.3372,-28.166,115,2020-06-14 10:04:47:831
-0.356705,-2.400441,5.8754,-0.473266,2.235668,-3.166483,-0.363833,1.252388,-1.482107,36.5822,4.3372,-28.166,125,2020-06-14 10:04:47:841
-1.12087,-2.776534,6.824018,-0.473266,2.235668,-3.166483,-0.363833,1.252388,-1.482107,37.3432,6.1369,-27.2218,136,2020-06-14 10:04:47:852
-1.12087,-2.776534,6.824018,-0.872342,1.830923,-1.981903,-0.363833,1.252388,-1.482107,37.3432,6.1369,-27.2218,145,2020-06-14 10:04:47:861
-1.12087,-2.776534,6.824018,-0.872342,1.830923,-1.981903,-0.363833,1.252388,-1.482107,37.3432,6.1369,-27.2218,155,2020-06-14 10:04:47:871
-1.597574,-2.937033,6.244307,-0.872342,1.830923,-1.981903,-0.154028,1.486688,-1.205207,38.0076,7.7046,-25.3062,165,2020-06-14 10:04:47:881
-1.597574,-2.937033,6.244307,-0.939746,1.875942,-3.176017,-0.154028,1.486688,-1.205207,38.0076,7.7046,-25.3062,175,2020-06-14 10:04:47:891
-1.597574,-2.937033,6.244307,-0.939746,1.875942,-3.176017,-0.154028,1.486688,-1.205207,38.0076,7.7046,-25.3062,185,2020-06-14 10:04:47:901
-1.118474,-2.666341,5.487329,-0.939746,1.875942,-3.176017,-0.182783,1.243868,-0.973037,38.7702,9.457,-23.2379,195,2020-06-14 10:04:47:911
-1.118474,-2.666341,5.487329,-0.311264,1.915103,-2.185454,-0.182783,1.243868,-0.973037,38.7702,9.457,-23.2379,205,2020-06-14 10:04:47:921
-1.118474,-2.666341,5.487329,-0.311264,1.915103,-2.185454,-0.182783,1.243868,-0.973037,38.7702,9.457,-23.2379,219,2020-06-14 10:04:47:935
-1.118474,-2.666341,5.487329,-0.311264,1.915103,-2.185454,-0.182783,1.243868,-0.973037,38.7702,9.457,-23.2379,225,2020-06-14 10:04:47:941
-0.819037,-2.841213,7.348632,-0.242745,1.874307,-1.770019,0.042997,1.101158,-1.039067,39.263,10.2504,-22.5695,236,2020-06-14 10:04:47:952
-0.819037,-2.841213,7.348632,-0.242745,1.874307,-1.770019,0.042997,1.101158,-1.039067,39.263,10.2504,-22.5695,245,2020-06-14 10:04:47:961
-0.819037,-2.841213,7.348632,-0.242745,1.874307,-1.770019,0.042997,1.101158,-1.039067,39.263,10.2504,-22.5695,256,2020-06-14 10:04:47:972
