ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
0.32299999999999995,-0.304,8.85,0.883,-1.085,-2.22,0.161,0.155,-0.011,-0.8,-38.4,-26.5
0.32299999999999995,-0.304,8.85,0.562,-1.967,-0.708,0.38,-0.139,-0.105,-0.5,-39.5,-27.1
-0.297,-0.5429999999999999,8.039,0.562,-1.967,-0.708,0.38,-0.139,-0.105,-0.5,-39.5,-27.1
-0.297,-0.5429999999999999,8.039,0.562,-1.967,-0.708,0.38,-0.139,-0.105,-0.5,-39.5,-27.1
-0.297,-0.5429999999999999,8.039,0.394,-1.856,-2.632,0.412,-0.468,-0.197,-0.5,-39.5,-27.1
0.342,-0.685,7.082000000000002,0.394,-1.856,-2.632,0.412,-0.468,-0.197,-0.2,-39.5,-24.7
0.342,-0.685,7.082000000000002,0.394,-1.856,-2.632,0.412,-0.468,-0.197,-0.2,-39.5,-24.7
0.342,-0.685,7.082000000000002,0.189,-2.266,-3.341,0.412,-0.468,-0.197,-0.2,-39.5,-24.7
0.5720000000000001,-1.115,5.124,0.189,-2.266,-3.341,0.503,-0.526,-0.298,-0.8,-40.2,-24.1
0.5720000000000001,-1.115,5.124,0.189,-2.266,-3.341,0.503,-0.526,-0.298,-0.8,-40.2,-24.1
0.5720000000000001,-1.115,5.124,0.963,-2.952,-5.987,0.503,-0.526,-0.298,-0.8,-40.2,-24.1
0.114,-0.601,3.887,0.963,-2.952,-5.987,-0.1,-0.531,-0.826,-1.1,-39.6,-24.4
0.114,-0.601,3.887,0.963,-2.952,-5.987,-0.1,-0.531,-0.826,-1.1,-39.6,-24.4
0.114,-0.601,3.887,0.163,-1.949,-3.28,-0.1,-0.531,-0.826,-1.1,-39.6,-24.4
-0.953,-0.383,5.947,0.163,-1.949,-3.28,0.134,-1.099,-1.038,-1.1,-39.6,-24.4
-0.953,-0.383,5.947,0.163,-1.949,-3.28,0.134,-1.099,-1.038,0.7,-40.5,-25.3
-1.022,-0.218,4.8439999999999985,-1.181,-1.94,-4.546,0.134,-1.099,-1.038,0.7,-40.5,-25.3
-1.022,-0.218,4.8439999999999985,-1.181,-1.94,-4.546,0.35100000000000003,-1.09,-0.5479999999999999,0.7,-40.5,-25.3
-1.022,-0.218,4.8439999999999985,-1.558,-1.7180000000000002,-5.82,0.35100000000000003,-1.09,-0.5479999999999999,0.4,-40.5,-22.9
-0.981,0.21,3.114,-1.558,-1.7180000000000002,-5.82,0.35100000000000003,-1.09,-0.5479999999999999,0.4,-40.5,-22.9
-0.981,0.21,3.114,-1.558,-1.7180000000000002,-5.82,0.35100000000000003,-1.09,-0.5479999999999999,0.4,-40.5,-22.9
-0.981,0.21,3.114,-1.259,-1.403,-6.905,0.319,-0.35700000000000004,-0.238,0.4,-41.2,-24.1
0.229,0.476,3.248,-1.259,-1.403,-6.905,0.319,-0.35700000000000004,-0.238,0.4,-41.2,-24.1
0.229,0.476,3.248,-1.259,-1.403,-6.905,0.319,-0.35700000000000004,-0.238,0.4,-41.2,-24.1
0.229,0.476,3.248,-0.204,-0.911,-5.5760000000000005,0.235,0.138,-0.298,0.4,-41.2,-24.1
0.289,0.988,3.985,-0.204,-0.911,-5.5760000000000005,0.235,0.138,-0.298,0.1,-41.4,-22.0
0.289,0.988,3.985,-0.204,-0.911,-5.5760000000000005,0.235,0.138,-0.298,0.1,-41.4,-22.0
0.289,0.988,3.985,-1.278,-0.239,-5.48,0.242,0.197,-0.313,0.1,-41.4,-22.0
-0.405,1.703,4.016,-1.278,-0.239,-5.48,0.242,0.197,-0.313,2.2,-42.1,-23.2
-0.405,1.703,4.016,-1.278,-0.239,-5.48,0.242,0.197,-0.313,2.2,-42.1,-23.2
-0.405,1.703,4.016,-0.211,-0.463,-6.2189999999999985,0.242,0.197,-0.313,2.2,-42.1,-23.2
0.325,1.459,3.516,-0.211,-0.463,-6.2189999999999985,-0.073,0.439,-0.336,2.8,-42.1,-22.6
0.325,1.459,3.516,-0.211,-0.463,-6.2189999999999985,-0.073,0.439,-0.336,2.8,-42.1,-22.6
0.287,1.141,4.875,-0.212,-0.7120000000000001,-4.5939999999999985,-0.073,0.439,-0.336,2.8,-42.1,-22.6
0.287,1.141,4.875,-0.212,-0.7120000000000001,-4.5939999999999985,-0.412,0.5760000000000001,-0.523,2.8,-42.1,-22.6
0.287,1.141,4.875,-0.212,-0.7120000000000001,-4.5939999999999985,-0.412,0.5760000000000001,-0.523,3.1,-41.4,-24.4
-1.651,1.242,7.687,-1.351,-0.8029999999999999,-2.239,-0.412,0.5760000000000001,-0.523,3.1,-41.4,-24.4
-1.651,1.242,7.687,-1.351,-0.8029999999999999,-2.239,-0.065,0.379,-0.336,3.1,-41.4,-24.4
-1.651,1.242,7.687,-1.351,-0.8029999999999999,-2.239,-0.065,0.379,-0.336,4.6,-41.2,-22.9
-1.013,1.266,8.012,-1.471,-0.31,-1.176,-0.065,0.379,-0.336,4.6,-41.2,-22.9
-1.013,1.266,8.012,-1.471,-0.31,-1.176,0.106,0.08199999999999999,0.044,4.6,-41.2,-22.9
-1.013,1.266,8.012,-0.868,0.109,-4.424,0.106,0.08199999999999999,0.044,4.6,-40.8,-23.5
-0.539,1.945,5.127000000000002,-0.868,0.109,-4.424,0.106,0.08199999999999999,0.044,4.6,-40.8,-23.5
-0.539,1.945,5.127000000000002,-0.868,0.109,-4.424,0.106,0.08199999999999999,0.044,4.6,-40.8,-23.5
-0.941,1.763,6.526,-1.021,0.115,-2.908,-0.544,0.374,0.174,3.1,-40.2,-24.1
-0.941,1.763,6.526,-1.021,0.115,-2.908,-0.544,0.374,0.174,3.1,-40.2,-24.1
-0.941,1.763,6.526,-1.021,0.115,-2.908,-0.544,0.374,0.174,3.1,-40.2,-24.1
-1.357,0.493,10.477,-1.021,0.115,-2.908,-0.7929999999999999,0.333,0.312,3.1,-40.2,-24.1
-1.357,0.493,10.477,-1.284,-1.104,1.359,-0.7929999999999999,0.333,0.312,4.0,-40.0,-26.8
-1.357,0.493,10.477,-1.284,-1.104,1.359,-0.7929999999999999,0.333,0.312,4.0,-40.0,-26.8
