ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-0.079,2.041,9.372,0.289,-0.5,-0.828,0.263,0.206,-0.008,-2.6,-41.9,-21.7
-0.07200000000000001,1.852,7.854,0.289,-0.5,-0.828,0.263,0.206,-0.008,-3.5,-41.2,-20.5
-0.07200000000000001,1.852,7.854,0.289,-0.5,-0.828,0.333,0.183,-0.08,-3.5,-41.2,-20.5
-0.07200000000000001,1.852,7.854,0.224,-0.966,-2.057,0.333,0.183,-0.08,-3.5,-41.2,-20.5
-0.431,1.409,6.615,0.224,-0.966,-2.057,0.333,0.183,-0.08,-2.3,-42.4,-20.2
-0.431,1.409,6.615,0.224,-0.966,-2.057,0.326,0.24,-0.136,-2.3,-42.4,-20.2
-0.431,1.409,6.615,-0.338,-1.561,-3.934,0.326,0.24,-0.136,-2.3,-42.4,-20.2
-1.149,0.942,4.703,-0.338,-1.561,-3.934,0.326,0.24,-0.136,-2.3,-42.4,-20.2
-1.149,0.942,4.703,-0.338,-1.561,-3.934,0.326,0.24,-0.136,-3.8,-41.5,-20.5
-1.149,0.942,4.703,-0.8109999999999999,-1.938,-5.374,0.036000000000000004,0.147,0.025,-3.8,-41.5,-20.5
-1.221,0.519,3.703,-0.8109999999999999,-1.938,-5.374,0.036000000000000004,0.147,0.025,-3.8,-41.5,-20.5
-1.221,0.519,3.703,-0.154,-2.281,-5.654,0.036000000000000004,0.147,0.025,-1.1,-42.2,-19.9
-1.221,0.519,3.703,-0.154,-2.281,-5.654,-0.212,0.153,0.195,-1.1,-42.2,-19.9
-0.333,0.442,3.748,-0.154,-2.281,-5.654,-0.212,0.153,0.195,-1.1,-42.2,-19.9
-0.333,0.442,3.748,-0.044,-2.052,-5.367000000000001,-0.212,0.153,0.195,-3.5,-41.4,-19.6
-0.333,0.442,3.748,-0.044,-2.052,-5.367000000000001,-0.086,0.136,0.012,-3.5,-41.4,-19.6
-1.032,0.485,3.756,-0.044,-2.052,-5.367000000000001,-0.086,0.136,0.012,-3.5,-41.4,-19.6
-1.032,0.485,3.756,-0.994,-2.126,-5.863,-0.086,0.136,0.012,-3.5,-41.4,-19.6
