ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-3.326,2.026,10.051,-3.254,0.237,0.421,1.446,0.07200000000000001,-0.244,5.9,-39.8,-18.7
-3.326,2.026,10.051,-3.254,0.237,0.421,0.981,0.244,-0.187,7.7,-40.0,-17.8
-5.083,1.7919999999999998,10.822,-5.13,-0.274,0.975,0.981,0.244,-0.187,7.7,-40.0,-17.8
-5.083,1.7919999999999998,10.822,-5.13,-0.274,0.975,0.981,0.244,-0.187,7.7,-40.0,-17.8
-5.083,1.7919999999999998,10.822,-5.13,-0.274,0.975,1.063,0.271,0.362,5.6,-40.5,-18.1
-4.925,0.94,9.752,-5.098,-1.587,0.003,1.063,0.271,0.362,5.6,-40.5,-18.1
-4.925,0.94,9.752,-5.098,-1.587,0.003,1.063,0.271,0.362,5.6,-40.5,-18.1
-4.925,0.94,9.752,-5.098,-1.587,0.003,1.063,0.271,0.362,5.6,-40.5,-18.1
-4.81,0.785,8.8,-4.933,-2.016,-0.966,1.261,0.299,0.7609999999999999,5.6,-40.8,-15.1
-4.81,0.785,8.8,-4.933,-2.016,-0.966,1.261,0.299,0.7609999999999999,5.6,-40.8,-15.1
-4.626,1.227,7.1629999999999985,-4.933,-2.016,-0.966,1.261,0.299,0.7609999999999999,5.6,-40.8,-15.1
-4.626,1.227,7.1629999999999985,-4.54,-1.928,-2.7510000000000003,1.324,0.306,1.008,5.3,-41.9,-12.1
-4.626,1.227,7.1629999999999985,-4.54,-1.928,-2.7510000000000003,1.324,0.306,1.008,5.3,-41.9,-12.1
-3.949,0.792,6.268,-4.54,-1.928,-2.7510000000000003,1.324,0.306,1.008,5.3,-41.9,-12.1
-3.949,0.792,6.268,-3.772,-2.133,-2.9530000000000003,1.163,0.059,1.128,5.3,-41.9,-12.1
-3.949,0.792,6.268,-3.772,-2.133,-2.9530000000000003,1.163,0.059,1.128,3.2,-42.7,-11.2
-4.173,1.809,5.122000000000001,-3.772,-2.133,-2.9530000000000003,1.163,0.059,1.128,3.2,-42.7,-11.2
-4.173,1.809,5.122000000000001,-3.772,-2.133,-2.9530000000000003,1.163,0.059,1.128,3.2,-42.7,-11.2
-4.173,1.809,5.122000000000001,-4.202,-2.095,-6.721,0.972,-0.113,1.339,3.2,-42.7,-11.2
-2.699,1.423,3.868,-4.202,-2.095,-6.721,0.972,-0.113,1.339,0.5,-42.7,-10.0
