ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-1.02,-2.9360000000000004,18.692,1.45,-2.985,16.695999999999998,2.5,-0.975,-2.252,-6.2,-27.9,-37.0
-1.02,-2.9360000000000004,18.692,-2.015,-0.534,6.984,2.5,-0.975,-2.252,-5.0,-29.8,-35.5
-1.02,-2.9360000000000004,18.692,-2.015,-0.534,6.984,2.5,-0.975,-2.252,-5.0,-29.8,-35.5
0.11199999999999999,-0.905,11.565999999999999,-2.015,-0.534,6.984,2.5,-0.975,-2.252,-5.0,-29.8,-35.5
0.11199999999999999,-0.905,11.565999999999999,-0.878,0.9209999999999999,0.725,3.0189999999999997,0.43700000000000006,-1.5090000000000001,-5.0,-29.8,-35.5
0.11199999999999999,-0.905,11.565999999999999,-0.878,0.9209999999999999,0.725,3.0189999999999997,0.43700000000000006,-1.5090000000000001,-2.9,-33.9,-32.5
0.8370000000000001,1.641,10.270999999999999,-0.878,0.9209999999999999,0.725,3.0189999999999997,0.43700000000000006,-1.5090000000000001,-2.9,-33.9,-32.5
0.8370000000000001,1.641,10.270999999999999,0.177,1.621,0.737,2.3680000000000003,1.236,-1.004,-2.9,-33.9,-32.5
0.8370000000000001,1.641,10.270999999999999,0.177,1.621,0.737,2.3680000000000003,1.236,-1.004,0.1,-37.0,-28.3
0.639,0.935,10.618,0.177,1.621,0.737,2.3680000000000003,1.236,-1.004,0.1,-37.0,-28.3
0.639,0.935,10.618,-0.561,0.305,-0.39899999999999997,1.935,0.193,-1.172,0.1,-37.0,-28.3
0.639,0.935,10.618,-0.561,0.305,-0.39899999999999997,1.935,0.193,-1.172,1.6,-38.8,-26.5
-0.8759999999999999,0.7340000000000001,9.972000000000001,-0.561,0.305,-0.39899999999999997,1.935,0.193,-1.172,1.6,-38.8,-26.5
-0.8759999999999999,0.7340000000000001,9.972000000000001,-1.661,-0.303,-0.317,1.8,-0.59,-1.25,1.6,-38.8,-26.5
-1.915,0.282,8.199,-1.661,-0.303,-0.317,1.8,-0.59,-1.25,3.4,-40.3,-26.2
-1.915,0.282,8.199,-1.661,-0.303,-0.317,1.8,-0.59,-1.25,3.4,-40.3,-26.2
-1.915,0.282,8.199,-2.374,-2.359,-3.638,1.8,-0.59,-1.25,3.4,-40.3,-26.2
-2.41,0.562,8.163,-2.374,-2.359,-3.638,1.136,-0.7859999999999999,-0.9790000000000001,3.4,-40.8,-22.9
-2.41,0.562,8.163,-2.374,-2.359,-3.638,1.136,-0.7859999999999999,-0.9790000000000001,3.4,-40.8,-22.9
-2.41,0.562,8.163,-3.2260000000000004,-1.925,-2.201,1.136,-0.7859999999999999,-0.9790000000000001,3.4,-40.8,-22.9
-2.573,-0.115,6.12,-3.2260000000000004,-1.925,-2.201,2.296,-0.41,-0.594,5.2,-42.4,-21.4
-2.573,-0.115,6.12,-3.2260000000000004,-1.925,-2.201,2.296,-0.41,-0.594,5.2,-42.4,-21.4
