ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
-2.5102599999999997,-4.824687,12.154005,-1.034146,-0.944003,3.355003,-0.644321,0.245865,-0.292773,-28.3628,17.3419,-28.6816
-2.5102599999999997,-4.824687,12.154005,-1.034146,-0.944003,3.355003,-0.644321,0.245865,-0.292773,-28.3628,17.3419,-28.6816
-2.0096,-3.797017,12.139632,-0.464136,0.35787399999999997,3.368727,-0.644321,0.245865,-0.292773,-28.3628,17.3419,-28.6816
-2.0096,-3.797017,12.139632,-0.464136,0.35787399999999997,3.368727,-0.961691,0.386445,-0.366258,-28.701999999999998,17.1513,-28.4293
-2.0096,-3.797017,12.139632,-0.464136,0.35787399999999997,3.368727,-0.961691,0.386445,-0.366258,-28.701999999999998,17.1513,-28.4293
-1.849102,-3.806599,13.109810000000001,-0.312842,0.564761,4.519645,-0.961691,0.386445,-0.366258,-28.701999999999998,17.1513,-28.4293
-1.849102,-3.806599,13.109810000000001,-0.312842,0.564761,4.519645,-0.828566,0.35556,-0.5792579999999999,-28.6051,17.4516,-28.0074
-3.521161,-5.006745,13.948235,-0.312842,0.564761,4.519645,-0.828566,0.35556,-0.5792579999999999,-28.6051,17.4516,-28.0074
-3.521161,-5.006745,13.948235,-0.312842,0.564761,4.519645,-0.828566,0.35556,-0.5792579999999999,-28.6051,17.4516,-28.0074
-3.521161,-5.006745,13.948235,-1.94147,-0.438308,5.406903,-0.45688100000000004,0.24906,-0.410988,-28.3346,18.2702,-27.9609
-3.2935879999999997,-5.10496,13.081063,-1.94147,-0.438308,5.406903,-0.45688100000000004,0.24906,-0.410988,-28.3346,18.2702,-27.9609
-3.2935879999999997,-5.10496,13.081063,-1.94147,-0.438308,5.406903,-0.45688100000000004,0.24906,-0.410988,-28.3346,18.2702,-27.9609
-3.2935879999999997,-5.10496,13.081063,-0.940415,0.178227,4.201625,0.059644,-0.19824,-0.10213799999999999,-28.3346,18.2702,-27.9609
-2.160517,-4.256953,12.496561,-0.940415,0.178227,4.201625,0.059644,-0.19824,-0.10213799999999999,-28.2038,19.0234,-27.6627
-2.160517,-4.256953,12.496561,-0.940415,0.178227,4.201625,0.059644,-0.19824,-0.10213799999999999,-28.2038,19.0234,-27.6627
-2.160517,-4.256953,12.496561,-0.940415,0.178227,4.201625,0.059644,-0.19824,-0.10213799999999999,-28.2038,19.0234,-27.6627
-1.973668,-4.362355,12.908586999999999,-0.35749000000000003,0.38071,4.3136410000000005,0.002134,-0.016125,-0.11065799999999999,-28.2815,18.7971,-28.0275
-1.973668,-4.362355,12.908586999999999,-0.35749000000000003,0.38071,4.3136410000000005,0.002134,-0.016125,-0.11065799999999999,-28.2815,18.7971,-28.0275
-2.107816,-4.738449,13.071482000000001,-0.35749000000000003,0.38071,4.3136410000000005,0.002134,-0.016125,-0.11065799999999999,-28.2815,18.7971,-28.0275
-2.107816,-4.738449,13.071482000000001,-0.504608,-0.050115,4.402555,0.020239,0.20859,0.005427,-28.2815,18.7971,-28.0275
-2.107816,-4.738449,13.071482000000001,-0.504608,-0.050115,4.402555,0.020239,0.20859,0.005427,-28.4317,17.9899,-28.3056
-1.640693,-4.597114,12.429487,-0.504608,-0.050115,4.402555,0.020239,0.20859,0.005427,-28.4317,17.9899,-28.3056
-1.640693,-4.597114,12.429487,0.014663999999999998,0.078706,3.699958,0.162949,0.02967,0.032052,-28.4317,17.9899,-28.3056
-1.640693,-4.597114,12.429487,0.014663999999999998,0.078706,3.699958,0.162949,0.02967,0.032052,-28.568,17.6652,-28.2238
-1.470613,-4.537227,12.956497,0.014663999999999998,0.078706,3.699958,0.162949,0.02967,0.032052,-28.568,17.6652,-28.2238
-1.470613,-4.537227,12.956497,0.147615,-0.022215000000000002,4.240735,0.30459400000000003,-0.034230000000000003,-0.070188,-28.568,17.6652,-28.2238
-1.470613,-4.537227,12.956497,0.147615,-0.022215000000000002,4.240735,0.30459400000000003,-0.034230000000000003,-0.070188,-28.568,17.6652,-28.2238
-1.516127,-4.800732,12.99243,0.147615,-0.022215000000000002,4.240735,0.30459400000000003,-0.034230000000000003,-0.070188,-28.5086,17.7369,-28.2439
-1.516127,-4.800732,12.99243,0.147615,-0.022215000000000002,4.240735,0.30459400000000003,-0.034230000000000003,-0.070188,-28.5086,17.7369,-28.2439
-1.451449,-4.836664,11.538362,0.06615599999999999,-0.34834,3.820471,0.380209,0.07759500000000001,-0.046758,-28.5086,17.7369,-28.2439
-1.451449,-4.836664,11.538362,0.06615599999999999,-0.34834,3.820471,0.380209,0.07759500000000001,-0.046758,-28.5086,17.7369,-28.2439
-1.451449,-4.836664,11.538362,0.06615599999999999,-0.34834,3.820471,0.380209,0.07759500000000001,-0.046758,-28.8743,17.9987,-28.1736
